time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.moe_gate.min,time_stats.moe_gate.max,time_stats.moe_gate.mean,time_stats.moe_gate.median,time_stats.moe_gate.std,time_stats.moe_linear.min,time_stats.moe_linear.max,time_stats.moe_linear.mean,time_stats.moe_linear.median,time_stats.moe_linear.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,num_experts,top_k,num_tokens,num_tensor_parallel_workers
0.047,0.062,0.059952380952380945,0.061,0.0029996220472425944,0.026000000000000002,0.028,0.02755000000000001,0.028,0.0005894913061275798,0.113,0.122,0.1206,0.121,0.0017720045146669338,0.019,0.02,0.019950000000000002,0.02,0.00021794494717703385,0.097,0.10300000000000001,0.10255,0.10300000000000001,0.0013219304066402295,0.026000000000000002,0.028,0.027400000000000008,0.027,0.0005830951894845301,0.02,0.022,0.021200000000000004,0.021,0.0005099019513592776,0.292,0.308,0.30534999999999995,0.306,0.0031507935508376323,0.013000000000000001,0.014,0.013250000000000003,0.013000000000000001,0.00043301270189221897,32,4,2048,768,151936,128,8,2080,1
0.049,0.061,0.05909523809523809,0.06,0.002348348191607228,0.027,0.028,0.02705,0.027,0.00021794494717703388,0.116,0.11900000000000001,0.11690000000000003,0.117,0.0008306623862918082,0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.082,0.083,0.08220000000000001,0.082,0.00040000000000000034,0.027,0.028,0.02705,0.027,0.00021794494717703388,0.02,0.022,0.020900000000000005,0.021,0.0005385164807134502,0.28200000000000003,0.291,0.28625,0.28700000000000003,0.002321098877687021,0.013000000000000001,0.014,0.013050000000000003,0.013000000000000001,0.00021794494717703353,32,4,2048,768,151936,128,8,2048,1
0.048,0.06,0.05890476190476191,0.059000000000000004,0.0025053231310411244,0.026000000000000002,0.027,0.02695000000000001,0.027,0.00021794494717703315,0.112,0.11800000000000001,0.1169,0.117,0.0011789826122551607,0.02,0.022,0.021150000000000002,0.021,0.000476969600708472,0.079,0.083,0.08215000000000001,0.082,0.0008529361054615998,0.026000000000000002,0.027,0.02695000000000001,0.027,0.00021794494717703315,0.02,0.022,0.021050000000000003,0.021,0.0003840572873934299,0.276,0.289,0.28690000000000004,0.28700000000000003,0.002681417535558378,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,32,4,2048,768,151936,128,8,2048,1
0.048,0.06,0.058333333333333334,0.059000000000000004,0.0024559613253766904,0.026000000000000002,0.028,0.026500000000000006,0.026000000000000002,0.0005916079783099605,0.114,0.11800000000000001,0.11560000000000001,0.115,0.0009165151389911687,0.02,0.021,0.020950000000000003,0.021,0.00021794494717703385,0.08,0.083,0.0814,0.081,0.0008602325267042634,0.026000000000000002,0.027,0.026150000000000007,0.026000000000000002,0.0003570714214271416,0.02,0.022,0.020300000000000006,0.02,0.0005567764362830021,0.3,0.314,0.30395,0.3035,0.003007906248539009,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,32,4,2048,768,151936,128,8,2032,1
0.049,0.061,0.05861904761904761,0.059000000000000004,0.0022985749306946982,0.026000000000000002,0.027,0.026450000000000008,0.026000000000000002,0.0004974937185533088,0.096,0.1,0.0979,0.098,0.001044030650891056,0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.081,0.084,0.08195,0.082,0.0008645808232895299,0.026000000000000002,0.027,0.026100000000000005,0.026000000000000002,0.0002999999999999992,0.02,0.022,0.020650000000000005,0.021,0.00057227615711298,0.293,0.301,0.29645,0.2965,0.002654712790491659,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,32,4,2048,768,151936,128,8,2016,1
0.045,0.06,0.0572857142857143,0.058,0.0028808539928103193,0.025,0.027,0.025750000000000006,0.026000000000000002,0.0005361902647381805,0.093,0.098,0.0957,0.095,0.0012688577540449534,0.02,0.021,0.020450000000000003,0.02,0.0004974937185533105,0.078,0.082,0.0799,0.079,0.0012609520212918503,0.025,0.026000000000000002,0.025400000000000006,0.025,0.000489897948556636,0.02,0.021,0.020150000000000005,0.02,0.0003570714214271428,0.289,0.302,0.29705,0.296,0.0036806928695559513,0.012,0.013000000000000001,0.012750000000000003,0.013000000000000001,0.0004330127018922198,32,4,2048,768,151936,128,8,2000,1
0.041,0.056,0.05233333333333334,0.052000000000000005,0.0030131984799155,0.023,0.026000000000000002,0.023500000000000004,0.023,0.0010246950765959606,0.088,0.095,0.08980000000000002,0.089,0.0022715633383201114,0.018000000000000002,0.02,0.018750000000000006,0.019,0.0007664854858377937,0.073,0.079,0.07419999999999999,0.073,0.002400000000000002,0.022,0.025,0.023350000000000003,0.023,0.0008529361054615998,0.018000000000000002,0.02,0.019000000000000006,0.019,0.0006324555320336753,0.258,0.28,0.26430000000000003,0.2605,0.007720751258783054,0.012,0.013000000000000001,0.012200000000000003,0.012,0.00040000000000000034,32,4,2048,768,151936,128,8,1984,1
0.045,0.059000000000000004,0.055809523809523816,0.056,0.0027536823418668503,0.025,0.027,0.025500000000000005,0.025,0.0008062257748298544,0.093,0.1,0.0955,0.094,0.002559296778413948,0.019,0.021,0.020200000000000003,0.02,0.0006000000000000006,0.078,0.083,0.0797,0.0785,0.002193171219946133,0.024,0.026000000000000002,0.025200000000000007,0.025,0.0006000000000000005,0.02,0.021,0.020300000000000006,0.02,0.0004582575694955844,0.28700000000000003,0.306,0.29365,0.289,0.007799198676787246,0.012,0.013000000000000001,0.012400000000000003,0.012,0.000489897948556636,32,4,2048,768,151936,128,8,1968,1
0.042,0.058,0.05604761904761905,0.057,0.0033018925377828034,0.023,0.026000000000000002,0.025700000000000008,0.026000000000000002,0.0007141428428542857,0.089,0.098,0.09635,0.097,0.0017965244223221697,0.018000000000000002,0.021,0.020100000000000007,0.02,0.0006244997998398398,0.078,0.083,0.08154999999999998,0.0815,0.0011169153951844349,0.025,0.026000000000000002,0.025600000000000005,0.026000000000000002,0.0004898979485566361,0.02,0.022,0.02075,0.021,0.0005361902647381805,0.28600000000000003,0.293,0.28965,0.29,0.0021742814905158707,0.012,0.013000000000000001,0.012400000000000003,0.012,0.000489897948556636,32,4,2048,768,151936,128,8,1952,1
0.044,0.058,0.054190476190476206,0.054,0.0025188630772263235,0.024,0.026000000000000002,0.024700000000000007,0.025,0.0007141428428542856,0.093,0.099,0.09409999999999999,0.093,0.0019723082923316037,0.019,0.021,0.019450000000000002,0.019,0.0006689544080129832,0.078,0.084,0.07885,0.078,0.0019045996954740927,0.024,0.026000000000000002,0.024300000000000006,0.024,0.0006403124237432853,0.02,0.021,0.020150000000000005,0.02,0.00035707142142714284,0.28300000000000003,0.302,0.2875,0.28500000000000003,0.006312685640834637,0.012,0.013000000000000001,0.012200000000000003,0.012,0.00040000000000000034,32,4,2048,768,151936,128,8,1936,1
0.045,0.057,0.054571428571428576,0.055,0.0023415792101227147,0.024,0.026000000000000002,0.024900000000000005,0.025,0.0006244997998398404,0.093,0.098,0.0942,0.094,0.0014352700094407336,0.019,0.02,0.019250000000000003,0.019,0.00043301270189221973,0.088,0.093,0.08985,0.09,0.0015580436450882897,0.024,0.026000000000000002,0.024650000000000005,0.025,0.0005722761571129804,0.02,0.021,0.020150000000000005,0.02,0.00035707142142714284,0.265,0.279,0.26944999999999997,0.2675,0.004421255477802661,0.012,0.013000000000000001,0.012150000000000003,0.012,0.0003570714214271428,32,4,2048,768,151936,128,8,1920,1
0.045,0.056,0.054333333333333345,0.055,0.0021675822241411513,0.024,0.025,0.024950000000000007,0.025,0.00021794494717703385,0.094,0.095,0.09425000000000001,0.094,0.0004330127018922197,0.019,0.02,0.019050000000000004,0.019,0.00021794494717703388,0.09,0.091,0.09005,0.09,0.00021794494717703385,0.024,0.025,0.024550000000000006,0.025,0.0004974937185533104,0.019,0.021,0.020000000000000004,0.02,0.0003162277660168382,0.28400000000000003,0.28800000000000003,0.2866000000000001,0.28700000000000003,0.0008602325267042635,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,32,4,2048,768,151936,128,8,1904,1
0.044,0.057,0.05376190476190476,0.054,0.0024670159708549753,0.024,0.026000000000000002,0.024350000000000004,0.024,0.0007262919523166982,0.092,0.098,0.09340000000000001,0.092,0.0021307275752662537,0.018000000000000002,0.02,0.018900000000000007,0.019,0.000624499799839839,0.08700000000000001,0.093,0.0889,0.088,0.0019723082923316024,0.024,0.025,0.024200000000000006,0.024,0.00040000000000000034,0.019,0.021,0.020100000000000003,0.02,0.0005385164807134509,0.269,0.289,0.27599999999999997,0.2735,0.0062128898268036265,0.012,0.013000000000000001,0.012100000000000003,0.012,0.0003000000000000003,32,4,2048,768,151936,128,8,1888,1
0.044,0.054,0.053,0.053,0.0020701966780270627,0.024,0.025,0.024250000000000004,0.024,0.00043301270189221973,0.095,0.096,0.0954,0.095,0.0004898979485566361,0.018000000000000002,0.019,0.018900000000000007,0.019,0.0002999999999999992,0.09,0.09,0.09000000000000001,0.09,1.3877787807814457e-17,0.024,0.025,0.024050000000000005,0.024,0.00021794494717703388,0.019,0.021,0.020000000000000004,0.02,0.0003162277660168382,0.281,0.28400000000000003,0.28250000000000003,0.28200000000000003,0.0007416198487095669,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,32,4,2048,768,151936,128,8,1872,1
0.04,0.055,0.052714285714285714,0.053,0.003149343955006943,0.022,0.025,0.024050000000000005,0.024,0.0008046738469715548,0.088,0.096,0.09469999999999999,0.095,0.0023043437243605845,0.017,0.019,0.018800000000000004,0.019,0.0005999999999999995,0.082,0.091,0.08925,0.09,0.0023425413550244934,0.023,0.025,0.023950000000000006,0.024,0.00038405728739343076,0.018000000000000002,0.02,0.019850000000000007,0.02,0.0004769696007084726,0.25,0.272,0.26875,0.27,0.004526311964502672,0.011,0.012,0.011950000000000002,0.012,0.00021794494717703385,32,4,2048,768,151936,128,8,1856,1
0.042,0.055,0.051714285714285727,0.052000000000000005,0.0024907993963089554,0.023,0.025,0.023500000000000004,0.023,0.0008660254037844395,0.09,0.097,0.09275,0.0915,0.002896118091514919,0.018000000000000002,0.019,0.018250000000000006,0.018000000000000002,0.0004330127018922182,0.084,0.091,0.08679999999999999,0.0855,0.0027129319932501033,0.022,0.024,0.023100000000000002,0.023,0.0007000000000000006,0.013000000000000001,0.014,0.013350000000000004,0.013000000000000001,0.0004769696007084724,0.267,0.28700000000000003,0.27395,0.2695,0.0077037328614120645,0.011,0.012,0.011750000000000002,0.012,0.0004330127018922198,32,4,2048,768,151936,128,8,1840,1
0.038,0.053,0.051190476190476196,0.052000000000000005,0.0031262185832704485,0.022,0.024,0.023900000000000005,0.024,0.0004358898943540677,0.08700000000000001,0.095,0.09459999999999999,0.095,0.0017435595774162682,0.017,0.019,0.018800000000000004,0.019,0.0005099019513592777,0.08,0.09,0.08859999999999998,0.089,0.0019849433241279197,0.022,0.024,0.023200000000000005,0.023,0.0005099019513592789,0.016,0.017,0.016950000000000003,0.017,0.00021794494717703385,0.267,0.27,0.26925,0.2695,0.0008874119674649432,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,32,4,2048,768,151936,128,8,1824,1
0.041,0.053,0.049952380952380956,0.05,0.0022777639510669335,0.023,0.024,0.023200000000000005,0.023,0.00040000000000000034,0.091,0.098,0.09245,0.091,0.0023339880033967633,0.018000000000000002,0.019,0.018200000000000004,0.018000000000000002,0.00039999999999999893,0.085,0.091,0.0867,0.08600000000000001,0.002193171219946127,0.023,0.024,0.023200000000000005,0.023,0.00040000000000000034,0.016,0.018000000000000002,0.017050000000000003,0.017,0.0005894913061275802,0.265,0.28200000000000003,0.27044999999999997,0.2675,0.0061925358295289714,0.011,0.012,0.011500000000000002,0.0115,0.0005000000000000004,32,4,2048,768,151936,128,8,1808,1
0.038,0.053,0.05085714285714287,0.052000000000000005,0.0030282120182066,0.021,0.024,0.023850000000000003,0.024,0.0006538348415311007,0.08700000000000001,0.096,0.09469999999999999,0.095,0.0017916472867168906,0.018000000000000002,0.019,0.018450000000000005,0.018000000000000002,0.0004974937185533087,0.073,0.074,0.07385,0.074,0.00035707142142714284,0.023,0.024,0.023800000000000005,0.024,0.0004000000000000003,0.017,0.018000000000000002,0.017200000000000003,0.017,0.00040000000000000034,0.25,0.258,0.25484999999999997,0.2545,0.0020316249653910064,0.011,0.012,0.011950000000000002,0.012,0.00021794494717703385,32,4,2048,768,151936,128,8,1792,1
0.042,0.052000000000000005,0.049857142857142864,0.05,0.0018331787195162053,0.023,0.024,0.023200000000000005,0.023,0.0004000000000000003,0.094,0.095,0.09415000000000003,0.094,0.00035707142142714273,0.017,0.019,0.018000000000000006,0.018000000000000002,0.00031622776601683767,0.073,0.075,0.07325,0.073,0.0005361902647381809,0.023,0.024,0.023050000000000005,0.023,0.00021794494717703388,0.016,0.018000000000000002,0.016950000000000003,0.017,0.00038405728739343076,0.268,0.273,0.27135000000000004,0.272,0.0011521718621802922,0.011,0.012,0.011700000000000002,0.012,0.0004582575694955845,32,4,2048,768,151936,128,8,1776,1
0.037,0.052000000000000005,0.04952380952380954,0.05,0.0029377517743213685,0.021,0.024,0.023150000000000004,0.023,0.0006538348415311012,0.08700000000000001,0.096,0.09469999999999999,0.095,0.0017916472867168904,0.016,0.019,0.017950000000000004,0.018000000000000002,0.00049749371855331,0.068,0.075,0.07375000000000001,0.074,0.001336974195712092,0.021,0.024,0.023100000000000002,0.023,0.0006244997998398398,0.016,0.018000000000000002,0.017450000000000004,0.0175,0.0005894913061275802,0.261,0.267,0.26470000000000005,0.266,0.002027313493271331,0.011,0.012,0.011700000000000002,0.012,0.0004582575694955844,32,4,2048,768,151936,128,8,1760,1
0.041,0.051000000000000004,0.049190476190476194,0.049,0.0019668453741012747,0.023,0.023,0.023000000000000003,0.023,3.469446951953614e-18,0.093,0.095,0.09395,0.094,0.00038405728739343076,0.017,0.018000000000000002,0.017950000000000004,0.018000000000000002,0.00021794494717703385,0.073,0.074,0.07304999999999999,0.073,0.00021794494717703385,0.023,0.023,0.023000000000000003,0.023,3.469446951953614e-18,0.017,0.018000000000000002,0.017100000000000004,0.017,0.00030000000000000024,0.264,0.269,0.26615,0.266,0.001589811309558466,0.011,0.012,0.011400000000000002,0.011,0.000489897948556636,32,4,2048,768,151936,128,8,1744,1
0.039,0.05,0.048047619047619054,0.048,0.00210387828898805,0.022,0.023,0.022200000000000004,0.022,0.00040000000000000034,0.091,0.095,0.0917,0.091,0.0013076696830622032,0.016,0.018000000000000002,0.017000000000000005,0.017,0.0003162277660168382,0.07,0.074,0.0713,0.07100000000000001,0.0010999999999999962,0.022,0.023,0.022150000000000003,0.022,0.00035707142142714284,0.016,0.017,0.016800000000000002,0.017,0.0004000000000000004,0.243,0.255,0.24805000000000002,0.248,0.003278337993557104,0.011,0.012,0.011100000000000002,0.011,0.00030000000000000024,32,4,2048,768,151936,128,8,1728,1
0.036000000000000004,0.049,0.046666666666666676,0.047,0.002532330628630158,0.02,0.022,0.021700000000000004,0.022,0.0005567764362830012,0.08700000000000001,0.093,0.0913,0.091,0.0014866068747318498,0.015,0.017,0.016650000000000005,0.017,0.0005722761571129804,0.068,0.07200000000000001,0.07060000000000001,0.07050000000000001,0.0010677078252031322,0.021,0.022,0.0216,0.022,0.0004898979485566345,0.012,0.013000000000000001,0.012450000000000003,0.012,0.0004974937185533105,0.245,0.261,0.25475,0.254,0.0034910600109422383,0.01,0.011,0.010950000000000001,0.011,0.00021794494717703347,32,4,2048,768,151936,128,8,1712,1
0.035,0.049,0.04738095238095239,0.048,0.002869813175870354,0.02,0.022,0.021900000000000003,0.022,0.00043588989435406695,0.08600000000000001,0.094,0.09335,0.094,0.0017399712641305303,0.015,0.017,0.016900000000000005,0.017,0.0004358898943540677,0.067,0.073,0.07195000000000003,0.07200000000000001,0.0012031209415515952,0.022,0.023,0.022050000000000004,0.022,0.00021794494717703388,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.251,0.256,0.25294999999999995,0.253,0.001243985530462474,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,32,4,2048,768,151936,128,8,1696,1
0.035,0.049,0.0471904761904762,0.048,0.0029214974571767556,0.02,0.022,0.021800000000000003,0.022,0.0005999999999999995,0.08600000000000001,0.094,0.09290000000000001,0.094,0.0023430749027719944,0.015,0.017,0.016600000000000004,0.017,0.0006633249580710806,0.066,0.073,0.07150000000000002,0.07200000000000001,0.001688194301613414,0.019,0.022,0.021750000000000002,0.022,0.0007664854858377943,0.012,0.013000000000000001,0.012900000000000003,0.013000000000000001,0.00030000000000000024,0.23900000000000002,0.261,0.25755000000000006,0.259,0.005219913792391595,0.01,0.011,0.010950000000000001,0.011,0.00021794494717703347,32,4,2048,768,151936,128,8,1680,1
0.037,0.048,0.045095238095238105,0.045,0.002068004833391283,0.021,0.022,0.021200000000000004,0.021,0.00039999999999999893,0.085,0.09,0.0864,0.0855,0.001743559577416266,0.015,0.017,0.015950000000000002,0.016,0.0003840572873934307,0.062,0.066,0.06375000000000001,0.063,0.0012599603168354165,0.02,0.022,0.021200000000000004,0.021,0.0005099019513592776,0.012,0.013000000000000001,0.012300000000000002,0.012,0.00045825756949558437,0.227,0.243,0.2326,0.2315,0.004340506882842139,0.01,0.011,0.010750000000000001,0.011,0.00043301270189221897,32,4,2048,768,151936,128,8,1664,1
0.038,0.047,0.04580952380952382,0.046,0.0018157786633273927,0.021,0.022,0.021650000000000003,0.022,0.0004769696007084717,0.088,0.089,0.0881,0.088,0.00030000000000000024,0.016,0.017,0.016050000000000002,0.016,0.0002179449471770339,0.061,0.063,0.06205000000000001,0.062,0.00038405728739343076,0.021,0.022,0.021200000000000004,0.021,0.00039999999999999893,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.251,0.256,0.25260000000000005,0.252,0.0011135528725660054,0.01,0.011,0.010950000000000001,0.011,0.00021794494717703347,32,4,2048,768,151936,128,8,1648,1
0.037,0.047,0.04490476190476191,0.045,0.001924893612515023,0.02,0.022,0.021000000000000005,0.021,0.0004472135954999575,0.085,0.09,0.08610000000000001,0.085,0.0016401219466856693,0.015,0.016,0.015500000000000003,0.0155,0.0005000000000000004,0.06,0.063,0.06074999999999999,0.06,0.0010897247358851695,0.02,0.022,0.020600000000000004,0.0205,0.0006633249580710799,0.012,0.013000000000000001,0.012200000000000003,0.012,0.00040000000000000034,0.23500000000000001,0.247,0.23895,0.23800000000000002,0.0034274626183227663,0.01,0.011,0.010400000000000001,0.01,0.0004898979485566351,32,4,2048,768,151936,128,8,1632,1
