[aten::index_select] 总耗时: 3658.52 ms | 出现次数: 1001 | 平均耗时: 3.65 ms
[aten::sum] 总耗时: 3144.14 ms | 出现次数: 188 | 平均耗时: 16.72 ms
[aten::zero_] 总耗时: 3037.42 ms | 出现次数: 282 | 平均耗时: 10.77 ms
[aten::permute] 总耗时: 2834.78 ms | 出现次数: 1001 | 平均耗时: 2.83 ms
[aten::transpose] 总耗时: 2316.56 ms | 出现次数: 1001 | 平均耗时: 2.31 ms
[aten::zeros] 总耗时: 1794.79 ms | 出现次数: 94 | 平均耗时: 19.09 ms
[aten::_local_scalar_dense] 总耗时: 1300.08 ms | 出现次数: 3003 | 平均耗时: 0.43 ms
[aten::alias] 总耗时: 1192.92 ms | 出现次数: 1001 | 平均耗时: 1.19 ms
[aten::_unsafe_view] 总耗时: 816.59 ms | 出现次数: 1000 | 平均耗时: 0.82 ms
[aten::lift_fresh] 总耗时: 724.24 ms | 出现次数: 2002 | 平均耗时: 0.36 ms
[aten::resolve_conj] 总耗时: 307.46 ms | 出现次数: 1001 | 平均耗时: 0.31 ms
[aten::resolve_neg] 总耗时: 247.60 ms | 出现次数: 1001 | 平均耗时: 0.25 ms

===== 分析文件: ds-7e2d1404-1-744dcfb874-xrz4p_1961065.1756354005635068367.pt.trace.json =====
[aten::copy_] 总耗时: 47627209.68 ms | 出现次数: 13286 | 平均耗时: 3584.77 ms
[aten::to] 总耗时: 47530181.72 ms | 出现次数: 7195 | 平均耗时: 6606.00 ms
[aten::_to_copy] 总耗时: 47523039.27 ms | 出现次数: 4192 | 平均耗时: 11336.60 ms
[aten::empty] 总耗时: 949570.62 ms | 出现次数: 289951 | 平均耗时: 3.27 ms
[aten::unbind] 总耗时: 614711.14 ms | 出现次数: 94094 | 平均耗时: 6.53 ms
[aten::sort] 总耗时: 585343.27 ms | 出现次数: 2002 | 平均耗时: 292.38 ms
[aten::linear] 总耗时: 522408.62 ms | 出现次数: 1001 | 平均耗时: 521.89 ms
[aten::mm] 总耗时: 517752.49 ms | 出现次数: 1095 | 平均耗时: 472.83 ms
[aten::empty_like] 总耗时: 514486.38 ms | 出现次数: 96378 | 平均耗时: 5.34 ms
[aten::matmul] 总耗时: 512922.43 ms | 出现次数: 1001 | 平均耗时: 512.41 ms
[aten::expand] 总耗时: 446617.90 ms | 出现次数: 282282 | 平均耗时: 1.58 ms
[aten::empty_strided] 总耗时: 436963.04 ms | 出现次数: 99570 | 平均耗时: 4.39 ms
[aten::select] 总耗时: 381819.53 ms | 出现次数: 190190 | 平均耗时: 2.01 ms
[aten::as_strided] 总耗时: 316556.38 ms | 出现次数: 699515 | 平均耗时: 0.45 ms
[aten::slice] 总耗时: 303869.30 ms | 出现次数: 217846 | 平均耗时: 1.39 ms
[aten::index] 总耗时: 72197.80 ms | 出现次数: 1095 | 平均耗时: 65.93 ms
[aten::fill_] 总耗时: 64676.81 ms | 出现次数: 5287 | 平均耗时: 12.23 ms
[aten::reshape] 总耗时: 44632.86 ms | 出现次数: 3097 | 平均耗时: 14.41 ms
[aten::sub] 总耗时: 42482.04 ms | 出现次数: 2002 | 平均耗时: 21.22 ms
[aten::scatter] 总耗时: 35147.98 ms | 出现次数: 1001 | 平均耗时: 35.11 ms
[aten::clone] 总耗时: 32002.12 ms | 出现次数: 1000 | 平均耗时: 32.00 ms
[aten::argmax] 总耗时: 28026.65 ms | 出现次数: 1001 | 平均耗时: 28.00 ms
[aten::softmax] 总耗时: 26966.15 ms | 出现次数: 2002 | 平均耗时: 13.47 ms
[aten::div_] 总耗时: 25747.93 ms | 出现次数: 2002 | 平均耗时: 12.86 ms
[aten::rsub] 总耗时: 23531.76 ms | 出现次数: 1001 | 平均耗时: 23.51 ms
[aten::_softmax] 总耗时: 21710.52 ms | 出现次数: 2002 | 平均耗时: 10.84 ms
[aten::exponential_] 总耗时: 17098.76 ms | 出现次数: 1001 | 平均耗时: 17.08 ms
[aten::le] 总耗时: 16284.04 ms | 出现次数: 1001 | 平均耗时: 16.27 ms
[aten::masked_fill_] 总耗时: 13120.16 ms | 出现次数: 1001 | 平均耗时: 13.11 ms
[aten::cumsum] 总耗时: 12279.41 ms | 出现次数: 1001 | 平均耗时: 12.27 ms
[aten::movedim] 总耗时: 10842.06 ms | 出现次数: 2002 | 平均耗时: 5.42 ms
[aten::unsqueeze] 总耗时: 8385.76 ms | 出现次数: 3003 | 平均耗时: 2.79 ms
[aten::max] 总耗时: 7826.74 ms | 出现次数: 1001 | 平均耗时: 7.82 ms
[aten::view] 总耗时: 6850.34 ms | 出现次数: 4569 | 平均耗时: 1.50 ms
[aten::flatten] 总耗时: 5864.80 ms | 出现次数: 1001 | 平均耗时: 5.86 ms
[aten::t] 总耗时: 5679.62 ms | 出现次数: 1001 | 平均耗时: 5.67 ms
[aten::item] 总耗时: 5355.82 ms | 出现次数: 3003 | 平均耗时: 1.78 ms
[aten::div] 总耗时: 4815.20 ms | 出现次数: 94 | 平均耗时: 51.23 ms
[aten::index_select] 总耗时: 3716.65 ms | 出现次数: 1001 | 平均耗时: 3.71 ms
[aten::sum] 总耗时: 3161.80 ms | 出现次数: 188 | 平均耗时: 16.82 ms
[aten::zero_] 总耗时: 2974.27 ms | 出现次数: 282 | 平均耗时: 10.55 ms
[aten::permute] 总耗时: 2757.63 ms | 出现次数: 1001 | 平均耗时: 2.75 ms
[aten::transpose] 总耗时: 2293.70 ms | 出现次数: 1001 | 平均耗时: 2.29 ms
[aten::zeros] 总耗时: 1810.36 ms | 出现次数: 94 | 平均耗时: 19.26 ms
[aten::_local_scalar_dense] 总耗时: 1282.44 ms | 出现次数: 3003 | 平均耗时: 0.43 ms
[aten::alias] 总耗时: 1241.68 ms | 出现次数: 1001 | 平均耗时: 1.24 ms
[aten::_unsafe_view] 总耗时: 805.28 ms | 出现次数: 1000 | 平均耗时: 0.81 ms
[aten::lift_fresh] 总耗时: 712.13 ms | 出现次数: 2002 | 平均耗时: 0.36 ms
[aten::resolve_conj] 总耗时: 315.53 ms | 出现次数: 1001 | 平均耗时: 0.32 ms
[aten::resolve_neg] 总耗时: 213.68 ms | 出现次数: 1001 | 平均耗时: 0.21 ms

===== 分析文件: ds-7e2d1404-1-744dcfb874-xrz4p_1961067.1756354006849660237.pt.trace.json =====
[aten::copy_] 总耗时: 47896288.84 ms | 出现次数: 13286 | 平均耗时: 3605.02 ms
[aten::to] 总耗时: 47799952.60 ms | 出现次数: 7195 | 平均耗时: 6643.50 ms
[aten::_to_copy] 总耗时: 47792958.34 ms | 出现次数: 4192 | 平均耗时: 11400.99 ms
[aten::empty] 总耗时: 916242.06 ms | 出现次数: 289951 | 平均耗时: 3.16 ms
[aten::sort] 总耗时: 590225.22 ms | 出现次数: 2002 | 平均耗时: 294.82 ms
[aten::unbind] 总耗时: 585788.56 ms | 出现次数: 94094 | 平均耗时: 6.23 ms
[aten::linear] 总耗时: 523709.31 ms | 出现次数: 1001 | 平均耗时: 523.19 ms
[aten::mm] 总耗时: 519998.08 ms | 出现次数: 1095 | 平均耗时: 474.88 ms
[aten::matmul] 总耗时: 514985.77 ms | 出现次数: 1001 | 平均耗时: 514.47 ms
[aten::empty_like] 总耗时: 506864.97 ms | 出现次数: 96378 | 平均耗时: 5.26 ms
[aten::empty_strided] 总耗时: 435354.88 ms | 出现次数: 99570 | 平均耗时: 4.37 ms
[aten::expand] 总耗时: 420415.72 ms | 出现次数: 282282 | 平均耗时: 1.49 ms
[aten::select] 总耗时: 366446.70 ms | 出现次数: 190190 | 平均耗时: 1.93 ms
[aten::as_strided] 总耗时: 310316.11 ms | 出现次数: 699515 | 平均耗时: 0.44 ms
[aten::slice] 总耗时: 288428.01 ms | 出现次数: 217846 | 平均耗时: 1.32 ms
[aten::index] 总耗时: 72876.60 ms | 出现次数: 1095 | 平均耗时: 66.55 ms
[aten::fill_] 总耗时: 63580.70 ms | 出现次数: 5287 | 平均耗时: 12.03 ms
[aten::reshape] 总耗时: 44309.96 ms | 出现次数: 3097 | 平均耗时: 14.31 ms
[aten::sub] 总耗时: 43336.41 ms | 出现次数: 2002 | 平均耗时: 21.65 ms
[aten::scatter] 总耗时: 34569.55 ms | 出现次数: 1001 | 平均耗时: 34.54 ms
[aten::clone] 总耗时: 31751.08 ms | 出现次数: 1000 | 平均耗时: 31.75 ms
[aten::argmax] 总耗时: 28554.40 ms | 出现次数: 1001 | 平均耗时: 28.53 ms
[aten::softmax] 总耗时: 26736.12 ms | 出现次数: 2002 | 平均耗时: 13.35 ms
[aten::div_] 总耗时: 26128.33 ms | 出现次数: 2002 | 平均耗时: 13.05 ms
[aten::rsub] 总耗时: 23672.27 ms | 出现次数: 1001 | 平均耗时: 23.65 ms
[aten::_softmax] 总耗时: 21590.99 ms | 出现次数: 2002 | 平均耗时: 10.78 ms
[aten::exponential_] 总耗时: 17193.39 ms | 出现次数: 1001 | 平均耗时: 17.18 ms
[aten::le] 总耗时: 17080.04 ms | 出现次数: 1001 | 平均耗时: 17.06 ms
[aten::masked_fill_] 总耗时: 12833.22 ms | 出现次数: 1001 | 平均耗时: 12.82 ms
[aten::cumsum] 总耗时: 12151.27 ms | 出现次数: 1001 | 平均耗时: 12.14 ms
[aten::movedim] 总耗时: 10894.59 ms | 出现次数: 2002 | 平均耗时: 5.44 ms
[aten::unsqueeze] 总耗时: 7914.91 ms | 出现次数: 3003 | 平均耗时: 2.64 ms
[aten::max] 总耗时: 7723.88 ms | 出现次数: 1001 | 平均耗时: 7.72 ms
[aten::view] 总耗时: 7199.67 ms | 出现次数: 4569 | 平均耗时: 1.58 ms
[aten::flatten] 总耗时: 5960.72 ms | 出现次数: 1001 | 平均耗时: 5.95 ms
[aten::item] 总耗时: 5351.30 ms | 出现次数: 3003 | 平均耗时: 1.78 ms
[aten::t] 总耗时: 5173.61 ms | 出现次数: 1001 | 平均耗时: 5.17 ms
[aten::div] 总耗时: 4679.26 ms | 出现次数: 94 | 平均耗时: 49.78 ms
[aten::index_select] 总耗时: 3673.71 ms | 出现次数: 1001 | 平均耗时: 3.67 ms
[aten::sum] 总耗时: 3366.90 ms | 出现次数: 188 | 平均耗时: 17.91 ms
[aten::zero_] 总耗时: 3030.76 ms | 出现次数: 282 | 平均耗时: 10.75 ms
[aten::permute] 总耗时: 2763.27 ms | 出现次数: 1001 | 平均耗时: 2.76 ms
[aten::transpose] 总耗时: 2234.54 ms | 出现次数: 1001 | 平均耗时: 2.23 ms
